dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,21.552709,2.127784,21.950897,27.028078,47.551884,274.885139,0.742196
0.010000,21.752067,2.317592,22.226161,27.526457,49.837936,228.605198,0.779836
0.010000,21.947473,2.518705,22.506572,28.041013,51.455613,161.767658,0.820051
0.010000,22.137836,2.731640,22.792192,28.562044,52.103115,64.750249,0.862873
0.010000,22.321876,2.956743,23.082954,29.076184,51.414010,-68.910496,0.908266
0.010000,22.498146,3.194115,23.378617,29.566349,49.016474,-239.753651,0.956112
0.010000,22.665061,3.443534,23.678734,30.011704,44.535455,-448.101852,1.006186
0.010000,22.820973,3.704392,23.982635,30.390025,37.832156,-670.329937,1.058154
0.010000,22.964273,3.975660,24.289427,30.679188,28.916313,-891.584331,1.111569
0.010000,23.093502,4.255881,24.598010,30.858370,17.918153,-1099.816012,1.165879
0.010000,23.207480,4.543223,24.907133,30.912224,5.385414,-1253.273849,1.220460
0.010000,23.305409,4.835597,25.215471,30.833832,-7.839169,-1322.458316,1.274648
0.010000,23.386947,5.130781,25.521709,30.623793,-21.003960,-1316.479062,1.327785
0.010000,23.452215,5.426584,25.824627,30.291849,-33.194376,-1219.041595,1.379261
0.010000,23.501769,5.720989,26.123173,29.854625,-43.722393,-1052.801693,1.428549
0.010000,23.536520,6.012256,26.416507,29.333303,-52.132196,-840.980303,1.475229
0.010000,23.557635,6.298986,26.704013,28.750638,-58.266477,-613.428173,1.518994
0.010000,23.566434,6.580136,26.985300,28.128715,-62.192311,-392.583391,1.559647
0.010000,23.564299,6.854997,27.260170,27.486946,-64.176932,-198.462066,1.597090
0.010000,23.552600,7.123155,27.528583,26.841310,-64.563602,-38.666971,1.631303
0.010000,23.532647,7.384433,27.790622,26.203934,-63.737596,82.600583,1.662328
0.010000,23.505658,7.638839,28.046455,25.583267,-62.066695,167.090110,1.690249
0.010000,23.472746,7.886507,28.296300,24.984587,-59.867958,219.873709,1.715175
0.010000,23.434917,8.127665,28.540407,24.410700,-57.388766,247.919160,1.737231
0.010000,23.393070,8.362592,28.779032,23.862452,-54.824745,256.402076,1.756545
0.010000,23.348012,8.591591,29.012422,23.339010,-52.344228,248.051758,1.773241
