dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,19.268721,8.483417,22.634767,18.548172,44.651005,-149.032388,1.815985
0.010000,19.222138,8.667444,22.824598,18.983066,43.489460,-116.154456,1.821070
0.010000,19.173755,8.855414,23.018695,19.409720,42.665361,-82.409891,1.824021
0.010000,19.123957,9.047375,23.217010,19.831550,42.183020,-48.234088,1.824864
0.010000,19.073144,9.243417,23.419530,20.251993,42.044329,-13.869125,1.823604
0.010000,19.021736,9.443668,23.626275,20.674491,42.249780,20.545120,1.820231
0.010000,18.970172,9.648296,23.837300,21.102478,42.798690,54.890942,1.814719
0.010000,18.918921,9.857504,24.052694,21.539365,43.688664,88.997370,1.807022
0.010000,18.868487,10.071527,24.272579,21.988507,44.914291,122.562729,1.797079
0.010000,18.819416,10.290631,24.497110,22.453157,46.464980,155.068938,1.784812
0.010000,18.772309,10.515106,24.726475,22.936451,48.329387,186.440720,1.770129
0.010000,18.727828,10.745257,24.960885,23.441041,50.458987,212.959988,1.752922
0.010000,18.686712,10.981397,25.200578,23.969246,52.820451,236.146355,1.733074
0.010000,18.649784,11.223827,25.445804,24.522632,55.338647,251.819656,1.710458
0.010000,18.617965,11.472817,25.696819,25.101551,57.891886,255.323854,1.684947
0.010000,18.592281,11.728580,25.953868,25.704859,60.330780,243.889426,1.656419
0.010000,18.573867,11.991229,26.217162,26.329374,62.451485,212.070523,1.624766
0.010000,18.563960,12.260738,26.486854,26.969178,63.980431,152.894580,1.589913
0.010000,18.559481,12.406427,26.632611,14.575769,-1239.340911,-130332.134175,1.614194
0.010000,18.551023,12.558372,26.784792,15.218035,64.226643,130356.755390,1.638102
0.010000,18.538743,12.714835,26.941735,15.694342,47.630661,-1659.598275,1.659629
0.010000,18.522812,12.875822,27.103509,16.177412,48.306990,67.632923,1.678740
0.010000,18.503438,13.041327,27.270144,16.663492,48.608081,30.109072,1.695422
0.010000,18.480868,13.211334,27.441643,17.149884,48.639184,3.110318,1.709672
0.010000,18.455384,13.385832,27.617991,17.634834,48.494958,-14.422551,1.721497
0.010000,18.427302,13.564816,27.799165,18.117404,48.256997,-23.796146,1.730910
0.010000,18.396969,13.748299,27.985138,18.597316,47.991165,-26.583218,1.737923
0.010000,18.364764,13.936309,28.175887,19.074810,47.749450,-24.171484,1.742549
0.010000,18.331095,14.128893,28.371392,19.550506,47.569578,-17.987209,1.744796
0.010000,18.296401,14.326117,28.571644,20.025266,47.476037,-9.354048,1.744670
0.010000,18.261149,14.528064,28.776645,20.500070,47.480425,0.438743,1.742170
0.010000,18.225843,14.734830,28.986404,20.975891,47.582035,10.161042,1.737290
